time,idx,pump_name,set_pump_duty_cycle,pump_feedback,measured_flow_external,measured_flow_integrated
1707494504.946626,0.0,AWMT,192,79.0,0.000000,0.0
1707494505.949255,1.0,AWMT,336,79.0,0.000000,0.0
1707494506.956944,2.0,AWMT,391,81.0,0.000000,0.0
1707494507.9550738,3.0,AWMT,448,13.0,477.000000,633.45
1707494508.9544082,4.0,AWMT,469,32.0,660.000000,633.45
1707494509.9553719,5.0,AWMT,529,30.0,630.000000,814.524
1707494510.9560032,6.0,AWMT,425,24.0,576.000000,814.524
1707494511.9571419,7.0,AWMT,322,22.0,576.000000,814.524
1707494512.9603543,8.0,AWMT,309,16.0,456.000000,588.3359999999999
1707494513.960425,9.0,AWMT,402,28.0,624.000000,588.3359999999999
1707494514.9610841,10.0,AWMT,521,33.0,801.000000,820.704
1707494515.9627254,11.0,AWMT,552,34.0,813.000000,820.704
1707494516.9644706,12.0,AWMT,468,29.0,654.000000,832.446
1707494517.965748,13.0,AWMT,445,13.0,450.000000,832.446
1707494518.9685261,14.0,AWMT,534,10.0,435.000000,271.30199999999996
1707494519.9659326,15.0,AWMT,569,16.0,486.000000,271.30199999999996
1707494520.9686527,16.0,AWMT,543,20.0,495.000000,558.054
1707494521.9717948,17.0,AWMT,427,13.0,438.000000,558.054
1707494522.972115,18.0,AWMT,345,9.0,438.000000,295.404
1707494523.9732268,19.0,AWMT,323,15.0,405.000000,295.404
1707494524.972383,20.0,AWMT,370,25.0,594.000000,645.192
1707494525.9740222,21.0,AWMT,402,30.0,783.000000,645.192
1707494526.9741504,22.0,AWMT,474,32.0,801.000000,853.4580000000001
1707494527.9773269,23.0,AWMT,605,29.0,780.000000,853.4580000000001
1707494528.977147,24.0,AWMT,678,26.0,729.000000,672.3840000000001
1707494529.9811609,25.0,AWMT,678,21.0,459.000000,672.3840000000001
1707494530.9797146,26.0,AWMT,662,5.0,288.000000,672.3840000000001
1707494531.9788516,27.0,AWMT,711,4.0,258.000000,0.0
1707494532.9856162,28.0,AWMT,595,4.0,258.000000,0.0
1707494533.9818,29.0,AWMT,473,4.0,243.000000,0.0
1707494534.9853463,30.0,AWMT,437,4.0,156.000000,0.0
1707494535.985784,31.0,AWMT,444,7.0,264.000000,213.828
1707494536.986951,32.0,AWMT,497,15.0,483.000000,213.828
1707494537.9864748,33.0,AWMT,526,24.0,549.000000,548.7840000000001
1707494538.9884079,34.0,AWMT,631,24.0,546.000000,548.7840000000001
1707494539.9901319,35.0,AWMT,671,20.0,504.000000,551.874
1707494540.9955063,36.0,AWMT,607,12.0,360.000000,551.874
1707494541.9914129,37.0,AWMT,630,5.0,261.000000,0.0
1707494542.995285,38.0,AWMT,710,4.0,261.000000,0.0
1707494543.9948063,39.0,AWMT,647,6.0,264.000000,202.08599999999998
1707494544.9950044,40.0,AWMT,558,5.0,273.000000,202.08599999999998
1707494545.9976287,41.0,AWMT,595,4.0,60.000000,0.0
1707494547.0042737,42.0,AWMT,660,7.0,246.000000,0.0
1707494547.9987583,43.0,AWMT,708,12.0,279.000000,250.29000000000002
1707494549.0023863,44.0,AWMT,605,11.0,282.000000,250.29000000000002
1707494550.0054207,45.0,AWMT,526,6.0,105.000000,250.29000000000002
1707494551.0025709,46.0,AWMT,494,4.0,105.000000,0.0
1707494552.004853,47.0,AWMT,449,7.0,246.000000,0.0
1707494553.0060155,48.0,AWMT,464,13.0,294.000000,244.11
1707494554.007276,49.0,AWMT,444,19.0,357.000000,244.11
1707494555.0075066,50.0,AWMT,457,22.0,534.000000,494.40000000000003
1707494556.0100121,51.0,AWMT,494,22.0,546.000000,494.40000000000003
1707494557.0113559,52.0,AWMT,478,23.0,555.000000,551.874
1707494558.0113134,53.0,AWMT,494,22.0,552.000000,551.874
1707494559.012413,54.0,AWMT,461,18.0,534.000000,542.6039999999999
1707494560.0144026,55.0,AWMT,483,18.0,525.000000,542.6039999999999
1707494561.014309,56.0,AWMT,515,17.0,525.000000,494.40000000000003
1707494562.0157151,57.0,AWMT,363,20.0,534.000000,494.40000000000003
1707494563.03188,58.0,AWMT,278,19.0,540.000000,491.31
1707494564.0181048,59.0,AWMT,388,16.0,525.000000,491.31
1707494565.019207,60.0,AWMT,579,28.0,780.000000,787.332
1707494566.0204668,61.0,AWMT,601,34.0,900.000000,787.332
1707494567.0213335,62.0,AWMT,459,25.0,597.000000,657.5520000000001
1707494568.0224953,63.0,AWMT,459,9.0,324.000000,657.5520000000001
1707494569.023725,64.0,AWMT,541,6.0,408.000000,657.5520000000001
