time,idx,pump_name,set_pump_duty_cycle,pump_feedback,measured_flow_external,measured_flow_integrated
1709121769.4692304,0.0,Wilo,192,64.0,0.000000,
1709121770.472097,1.0,Wilo,336,64.0,0.000000,
1709121771.4733515,2.0,Wilo,391,46.0,0.000000,
1709121772.4751852,3.0,Wilo,448,6.0,0.000000,
1709121773.4767427,4.0,Wilo,469,32.0,669.000000,
1709121774.4790847,5.0,Wilo,529,29.0,702.000000,
1709121775.4787936,6.0,Wilo,425,25.0,642.000000,
1709121776.480444,7.0,Wilo,322,23.0,579.000000,
1709121777.4847,8.0,Wilo,309,17.0,405.000000,
1709121778.4829142,9.0,Wilo,402,25.0,597.000000,
1709121779.4833708,10.0,Wilo,521,31.0,597.000000,
1709121780.484277,11.0,Wilo,552,34.0,804.000000,
1709121781.484882,12.0,Wilo,468,28.0,804.000000,
1709121782.4921196,13.0,Wilo,445,19.0,633.000000,
1709121783.487439,14.0,Wilo,534,11.0,408.000000,
1709121784.4912558,15.0,Wilo,569,20.0,408.000000,
1709121785.4896512,16.0,Wilo,543,22.0,468.000000,
1709121786.493421,17.0,Wilo,427,17.0,471.000000,
1709121787.492679,18.0,Wilo,345,9.0,414.000000,
1709121788.494565,19.0,Wilo,323,10.0,387.000000,
1709121789.494321,20.0,Wilo,370,19.0,387.000000,
1709121790.496522,21.0,Wilo,402,31.0,609.000000,
1709121791.497009,22.0,Wilo,474,33.0,774.000000,
1709121792.5042853,23.0,Wilo,605,31.0,801.000000,
1709121793.4996932,24.0,Wilo,678,25.0,777.000000,
1709121794.5065577,25.0,Wilo,678,19.0,687.000000,
1709121795.5015914,26.0,Wilo,662,9.0,399.000000,
1709121796.5031633,27.0,Wilo,711,4.0,210.000000,
1709121797.503746,28.0,Wilo,595,4.0,210.000000,
1709121798.5049102,29.0,Wilo,473,4.0,156.000000,
1709121799.5058384,30.0,Wilo,437,4.0,156.000000,
1709121800.5078034,31.0,Wilo,444,10.0,96.000000,
1709121801.50931,32.0,Wilo,497,19.0,294.000000,
1709121802.5108557,33.0,Wilo,526,23.0,498.000000,
1709121803.5108733,34.0,Wilo,631,23.0,537.000000,
1709121804.5125983,35.0,Wilo,671,18.0,534.000000,
1709121805.5132163,36.0,Wilo,607,15.0,486.000000,
1709121806.5164006,37.0,Wilo,630,9.0,327.000000,
1709121807.515888,38.0,Wilo,710,4.0,255.000000,
1709121808.5184023,39.0,Wilo,647,6.0,258.000000,
1709121809.5183372,40.0,Wilo,558,7.0,258.000000,
1709121810.5188081,41.0,Wilo,595,4.0,198.000000,
1709121811.5198362,42.0,Wilo,660,4.0,189.000000,
1709121812.5205126,43.0,Wilo,708,10.0,264.000000,
1709121813.5229325,44.0,Wilo,605,9.0,264.000000,
1709121814.5233953,45.0,Wilo,526,5.0,282.000000,
1709121815.524093,46.0,Wilo,494,4.0,168.000000,
1709121816.5258126,47.0,Wilo,449,6.0,219.000000,
1709121817.5283883,48.0,Wilo,464,15.0,276.000000,
1709121818.5291462,49.0,Wilo,444,18.0,345.000000,
1709121819.536841,50.0,Wilo,457,21.0,504.000000,
1709121820.5302494,51.0,Wilo,494,22.0,504.000000,
1709121821.5364366,52.0,Wilo,478,23.0,537.000000,
1709121822.5332358,53.0,Wilo,494,23.0,555.000000,
