time,hp1PowerInput,externalElectricityMeterVoltage,externalElectricityMeterPowerFactor,externalElectricityMeterCurrent,circulatingPumpDutyCycle,hp1PowerInputCorrected,getFanSpeed,getCirculatingPumpRelay,externalElectricityMeterVoltage * externalElectricityMeterCurrent,PowerIn,hp1PowerInputCorrected + circulatingPumpDutyCycle
1678906972091,416.1,231.953476,0.9373396635,2.843475103,32,493.515,625,TRUE,659.553934,618.2260626,525.515
1678906987129,418,232.3508453,0.9356436133,2.60305047,33,495.7,627,TRUE,604.8209772,565.8968846,528.7
1678907002149,416.1,231.9504242,0.9354814887,2.593832493,33,493.515,620,TRUE,601.640547,562.8235946,526.515
1678907017161,418,232.4959106,0.9354276657,2.592391729,33,495.7,617,TRUE,602.7204759,563.8014078,528.7
1678907032196,418,232.7134705,0.9354736209,2.585737705,32,495.7,620,TRUE,601.7359951,562.9081501,527.7
1678907047209,418,232.3214569,0.9355416894,2.584889889,32,495.7,617,TRUE,600.5253849,561.8165331,527.7
1678907062225,418,232.6772461,0.9357597828,2.573950768,32,495.7,622,TRUE,598.8997762,560.4263245,527.7
1678907077289,418,232.2263031,0.9356731772,2.578049421,32,495.7,617,TRUE,598.6908863,560.1790038,527.7
1678907092362,418,231.8135834,0.9353092909,2.586065054,33,495.7,625,TRUE,599.485007,560.7038968,528.7
1678907107380,416.1,232.268158,0.9357620478,2.575013638,33,493.515,627,TRUE,598.0936743,559.6733614,526.515
1678907122393,416.1,232.333313,0.9354022741,2.574271202,33,493.515,620,TRUE,598.0889569,559.4537704,526.515
1678907137411,418,232.3058319,0.935787797,2.568132401,33,495.7,627,TRUE,596.5921338,558.2836385,528.7
1678907152437,416.1,232.2964325,0.9361733198,2.564122915,32,493.515,627,TRUE,595.6366057,557.6190986,525.515
1678907167454,418,231.841629,0.935674727,2.568613529,33,495.7,620,TRUE,595.511545,557.2051022,528.7
1678907182468,416.1,231.9962769,0.9358744621,2.566763878,33,493.515,615,TRUE,595.4796632,557.2942095,526.515
1678907197492,436,231.3226929,0.9401319623,3.143750429,32,516.4,620,TRUE,727.220815,683.6835318,548.4
1678907212518,525.6,232.0620422,0.9401641488,3.155127048,33,619.44,615,TRUE,732.1852264,688.3743001,652.44
1678907227540,525.6,232.0466614,0.9401397705,3.15585351,32,619.44,620,TRUE,732.3052708,688.4693092,651.44
1678907242559,525.6,231.2776337,0.9391853213,2.952628374,33,619.44,620,TRUE,682.8769035,641.347964,652.44
1678907257575,414.2,231.6009369,0.9358027577,2.553882122,32,491.33,622,TRUE,591.4814922,553.5100115,523.33
1678907272632,396,231.1635437,0.9355136156,2.559645653,32,470.4,622,TRUE,591.6967597,553.540375,502.4
1678907287766,392.4,231.2674408,0.9372557402,2.575194836,33,466.26,622,TRUE,595.5587192,558.1908282,499.26
1678907302780,414.2,231.7071686,0.9359877706,2.553275108,33,491.33,622,TRUE,591.612146,553.7417335,524.33
1678907317794,394.2,231.3842773,0.9356231689,2.557591438,33,468.33,617,TRUE,591.7864467,553.6891106,501.33
1678907332810,394.2,231.4286041,0.9356076121,2.553726673,33,468.33,622,TRUE,591.0053993,552.9491504,501.33
