"time","hp1PowerInput","circulatingPumpDutyCycle","getFanSpeed","getCirculatingPumpRelay","externalElectricityMeterPower","bottomPlateHeaterEnable","compressorCrankcaseHeaterEnable","ModelLuke","Model1","Model2","Model3"
1680096461050,0,13,0,1,30.76669692993164,0,0,28,30.24,33.870000000000005,30.24
1680096476077,0,15,0,1,32.21487045288086,0,0,30,32.239999999999995,36.49,32.239999999999995
1680096491102,0,16,0,1,33.34801483154297,0,0,31,33.239999999999995,37.8,33.239999999999995
1680096506167,0,18,0,1,34.56492614746094,0,0,33,35.239999999999995,40.42,35.239999999999995
1680096521178,0,18,0,1,64.7927017211914,0,0,33,35.239999999999995,40.42,35.239999999999995
1680096536249,232,19,545,1,368.83001708984375,0,0,300.79999999999995,345.38000000000005,341.06,289.525
1680096551263,348,19,522,1,421.363037109375,0,0,434.2,465.672,461.76599999999996,414.69000000000005
1680096566284,371.2,20,517,1,436.4748229980469,0,0,461.87999999999994,490.68399999999997,487.17799999999994,440.721
1680096581330,371.2,20,567,1,438.9407653808594,0,0,461.87999999999994,496.484,492.078,440.971
1680096596353,371.2,20,580,1,439.6524658203125,0,0,461.87999999999994,497.99199999999996,493.352,441.036
1680096611360,371.2,20,597,1,455.79205322265625,0,0,461.87999999999994,499.964,495.0179999999999,441.12100000000004
1680096626380,417.6,21,625,1,491.7524719238281,0,0,516.24,553.3960000000001,548.2560000000001,492.37300000000005
1680096641394,438.9,21,622,1,495.21038818359375,0,0,540.7349999999999,575.626,570.54,515.362
1680096656413,438.9,21,622,1,495.8351745605469,0,0,540.7349999999999,575.626,570.54,515.362
1680096671426,438.9,21,622,1,499.4679870605469,0,0,540.7349999999999,575.626,570.54,515.362
1680096686505,440.8,21,620,1,501.7869567871094,0,0,542.92,577.408,572.3580000000001,517.404
1680096701517,438.9,21,620,1,505.8074951171875,0,0,540.7349999999999,575.394,570.344,515.352
1680096716531,438.9,21,622,1,506.9996337890625,0,0,540.7349999999999,575.626,570.54,515.362
1680096731562,438.9,22,620,1,509.16162109375,0,0,541.7349999999999,576.394,571.6540000000001,516.352
1680096746578,437,21,620,1,512.563720703125,0,0,538.55,573.38,568.33,513.3000000000001
1680096761591,437,22,620,1,512.5383911132812,0,0,539.55,574.38,569.6400000000001,514.3000000000001
1680096776623,437,22,617,1,511.63812255859375,0,0,539.55,574.032,569.3460000000001,514.285
1680096791693,437,21,625,1,513.0088500976562,0,0,538.55,573.96,568.82,513.325
1680096806713,438.9,22,625,1,513.1868896484375,0,0,541.7349999999999,576.9739999999999,572.144,516.377
1680096821727,437,21,617,1,512.9187622070312,0,0,538.55,573.032,568.0360000000001,513.285
1680096836741,437,22,622,1,514.8900146484375,0,0,539.55,574.6120000000001,569.8360000000001,514.3100000000001
1680096851756,437,21,620,1,515.1945190429688,0,0,538.55,573.38,568.33,513.3000000000001
1680096866770,460,21,622,1,518.0508422851562,0,0,565,597.9920000000001,592.9060000000001,538.1500000000001
1680096881785,458,22,620,1,518.8152465820312,0,0,563.6999999999999,596.64,591.9000000000001,536.98
1680096896802,458,21,620,1,519.569091796875,0,0,562.6999999999999,595.64,590.59,535.98
1680096911817,458,22,622,1,521.6773071289062,0,0,563.6999999999999,596.8720000000001,592.0960000000001,536.99
1680096926831,458,21,620,1,522.9142456054688,0,0,562.6999999999999,595.64,590.59,535.98
1680096941842,460,21,622,1,524.965087890625,0,0,565,597.9920000000001,592.9060000000001,538.1500000000001
1680096956856,460,21,617,1,526.7166748046875,0,0,565,597.412,592.416,538.125
1680096971867,458,22,620,1,528.5568237304688,0,0,563.6999999999999,596.64,591.9000000000001,536.98
1680096986883,458,21,622,1,530.4122314453125,0,0,562.6999999999999,595.8720000000001,590.7860000000001,535.99
1680097001900,458,22,627,1,532.1543579101562,0,0,563.6999999999999,597.452,592.5860000000001,537.0150000000001
1680097016915,460,21,625,1,531.966796875,0,0,565,598.34,593.2,538.165
1680097031933,460,22,620,1,534.0977172851562,0,0,566,598.76,594.0200000000001,539.1400000000001
1680097046947,460,22,622,1,535.76025390625,0,0,566,598.9920000000001,594.2160000000001,539.1500000000001
1680097061964,460,21,610,1,536.3650512695312,0,0,565,596.6,591.73,538.09
1680097076978,460,21,605,1,537.9749145507812,0,0,565,596.02,591.24,538.065
1680097091991,458,21,607,1,538.544921875,0,0,562.6999999999999,594.1320000000001,589.316,535.9150000000001
1680097107009,458,22,615,1,541.379638671875,0,0,563.6999999999999,596.0600000000001,591.4100000000001,536.955
1680097122023,460,21,610,1,541.7025756835938,0,0,565,596.6,591.73,538.09
1680097137075,483,21,622,1,545.2747802734375,0,0,591.4499999999999,622.3720000000001,617.2860000000001,562.99
1680097152089,483,22,625,1,546.7451171875,0,0,592.4499999999999,623.72,618.8900000000001,564.005
1680097167116,483,22,620,1,548.6105346679688,0,0,592.4499999999999,623.14,618.4000000000001,563.98
1680097182126,483,21,625,1,549.77734375,0,0,591.4499999999999,622.72,617.58,563.005
1680097197146,483,22,622,1,550.9395141601562,0,0,592.4499999999999,623.3720000000001,618.5960000000001,563.99
1680097212160,483,21,622,1,553.4417724609375,0,0,591.4499999999999,622.3720000000001,617.2860000000001,562.99
1680097227180,485.1,21,622,1,554.54541015625,0,0,593.865,624.5980000000001,619.5120000000001,565.258
1680097242198,485.1,21,620,1,555.4409790039062,0,0,593.865,624.366,619.316,565.248
1680097257220,485.1,21,610,1,557.6809692382812,0,0,593.865,623.206,618.336,565.198
1680097272237,485.1,21,620,1,558.768798828125,0,0,593.865,624.366,619.316,565.248
1680097287290,485.1,22,625,1,560.6515502929688,0,0,594.865,625.946,621.1160000000001,566.273
1680097302304,487.2,21,627,1,562.1018676757812,0,0,596.28,627.404,622.2280000000001,567.551
1680097317317,485.1,21,625,1,567.0437622070312,0,0,593.865,624.946,619.806,565.273
1680097332382,485.1,21,627,1,564.0557250976562,0,0,593.865,625.178,620.0020000000001,565.283
1680097347402,487.2,21,615,1,565.1936645507812,0,0,596.28,626.0120000000001,621.052,567.4910000000001
1680097362405,487.2,21,610,1,566.5796508789062,0,0,596.28,625.432,620.562,567.466
1680097377420,510.4,22,612,1,567.550537109375,0,0,623.9599999999999,651.256,646.6600000000001,593.5319999999999
1680097392433,510.4,21,612,1,568.3723754882812,0,0,622.9599999999999,650.256,645.35,592.5319999999999
1680097407450,489.3,21,610,1,569.056640625,0,0,598.6949999999999,627.658,622.788,569.734
1680097422477,510.4,21,620,1,572.071533203125,0,0,622.9599999999999,651.184,646.134,592.572
1680097437533,512.6,21,615,1,573.6946411132812,0,0,625.49,652.9360000000001,647.9760000000001,594.9230000000001
1680097452542,512.6,22,620,1,574.4779663085938,0,0,626.49,654.5160000000001,649.7760000000002,595.9480000000001
1680097467555,510.4,21,617,1,574.8198852539062,0,0,622.9599999999999,650.836,645.84,592.557
1680097482575,510.4,21,625,1,576.7174072265625,0,0,622.9599999999999,651.764,646.624,592.597
1680097497594,510.4,21,622,1,577.7952270507812,0,0,622.9599999999999,651.416,646.33,592.582
1680097512607,510.4,21,625,1,578.7144775390625,0,0,622.9599999999999,651.764,646.624,592.597
1680097527659,510.4,21,620,1,580.0751953125,0,0,622.9599999999999,651.184,646.134,592.572
1680097542672,510.4,22,607,1,582.2630004882812,0,0,623.9599999999999,650.676,646.1700000000001,593.507
1680097557691,510.4,21,625,1,583.5131225585938,0,0,622.9599999999999,651.764,646.624,592.597
1680097572707,512.6,21,622,1,583.985107421875,0,0,625.49,653.7480000000002,648.6620000000001,594.9580000000001
1680097587723,512.6,21,622,1,585.3010864257812,0,0,625.49,653.7480000000002,648.6620000000001,594.9580000000001
1680097602735,510.4,22,622,1,586.4415893554688,0,0,623.9599999999999,652.416,647.6400000000001,593.582
1680097617805,510.4,21,622,1,587.0410766601562,0,0,622.9599999999999,651.416,646.33,592.582
1680097632818,510.4,22,622,1,588.6104125976562,0,0,623.9599999999999,652.416,647.6400000000001,593.582
1680097647829,512.6,21,620,1,590.248779296875,0,0,625.49,653.5160000000001,648.4660000000001,594.9480000000001
1680097662840,510.4,22,620,1,590.7992553710938,0,0,623.9599999999999,652.184,647.4440000000001,593.572
1680097677869,512.6,21,620,1,592.0477905273438,0,0,625.49,653.5160000000001,648.4660000000001,594.9480000000001
1680097692879,512.6,22,622,1,593.6429443359375,0,0,626.49,654.7480000000002,649.9720000000002,595.9580000000001
1680097707957,512.6,21,620,1,594.62646484375,0,0,625.49,653.5160000000001,648.4660000000001,594.9480000000001
1680097722971,512.6,21,622,1,596.0283203125,0,0,625.49,653.7480000000002,648.6620000000001,594.9580000000001
1680097737990,512.6,21,620,1,597.2383422851562,0,0,625.49,653.5160000000001,648.4660000000001,594.9480000000001
1680097752998,512.6,22,625,1,598.4752807617188,0,0,626.49,655.0960000000001,650.2660000000002,595.9730000000001
1680097768008,535.9,21,625,1,598.9225463867188,0,0,652.285,678.794,673.654,620.1370000000001
1680097783019,514.8,22,620,1,600.1505126953125,0,0,629.0199999999999,656.848,652.1080000000001,598.3240000000001
1680097798032,538.2,21,617,1,601.7293090820312,0,0,654.93,680.3040000000001,675.3080000000001,622.5810000000001
1680097813044,538.2,21,620,1,602.229248046875,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680097828059,538.2,21,615,1,603.7722778320312,0,0,654.93,680.0720000000001,675.1120000000001,622.5710000000001
1680097843071,538.2,21,620,1,605.8668212890625,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680097858086,538.2,21,620,1,606.9314575195312,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680097873098,538.2,21,617,1,607.5562744140625,0,0,654.93,680.3040000000001,675.3080000000001,622.5810000000001
1680097888162,538.2,21,622,1,608.65673828125,0,0,654.93,680.8840000000001,675.7980000000001,622.6060000000001
1680097903175,538.2,22,620,1,609.7208862304688,0,0,655.93,681.652,676.9120000000001,623.5960000000001
1680097918186,538.2,21,622,1,610.1965942382812,0,0,654.93,680.8840000000001,675.7980000000001,622.6060000000001
1680097933203,538.2,21,620,1,611.8528442382812,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680097948265,535.9,21,615,1,612.886962890625,0,0,652.285,677.634,672.674,620.0870000000001
1680097963279,538.2,22,610,1,614.2413330078125,0,0,655.93,680.4920000000001,675.9320000000001,623.546
1680097978348,535.9,21,622,1,614.9151000976562,0,0,652.285,678.446,673.36,620.1220000000001
1680097993369,538.2,21,625,1,616.5092163085938,0,0,654.93,681.2320000000001,676.0920000000001,622.6210000000001
1680098008381,538.2,22,617,1,617.2904663085938,0,0,655.93,681.3040000000001,676.6180000000002,623.5810000000001
1680098023393,538.2,21,622,1,617.8857421875,0,0,654.93,680.8840000000001,675.7980000000001,622.6060000000001
1680098038426,538.2,21,622,1,618.5226440429688,0,0,654.93,680.8840000000001,675.7980000000001,622.6060000000001
1680098053483,538.2,21,620,1,620.12255859375,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680098068500,538.2,21,620,1,620.9232788085938,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680098083513,538.2,21,622,1,621.9963989257812,0,0,654.93,680.8840000000001,675.7980000000001,622.6060000000001
1680098098525,538.2,21,617,1,622.8518676757812,0,0,654.93,680.3040000000001,675.3080000000001,622.5810000000001
1680098113589,538.2,21,617,1,623.90234375,0,0,654.93,680.3040000000001,675.3080000000001,622.5810000000001
1680098128597,538.2,21,620,1,624.5239868164062,0,0,654.93,680.652,675.6020000000001,622.5960000000001
1680098143612,556.8,21,622,1,626.1591186523438,0,0,676.3199999999999,700.6,695.514,642.694
1680098158623,554.4,21,620,1,626.1143798828125,0,0,673.56,697.824,692.774,640.0920000000001
1680098173635,556.8,21,622,1,628.3142700195312,0,0,676.3199999999999,700.6,695.514,642.694
