"time","hp1PowerInput","circulatingPumpDutyCycle","getFanSpeed","getCirculatingPumpRelay","externalElectricityMeterPower","bottomPlateHeaterEnable","compressorCrankcaseHeaterEnable","ModelLuke","Model1","Model2","Model3"
1680096129421,542.5,15,622,1,612.4244384765625,0,0,653.875,679.4420000000001,672.4960000000001,632.2046282071888
1680096144435,540,16,620,1,612.3801879882812,0,0,652,677.56,670.96,630.4038947063361
1680096159581,537.5,15,615,1,612.8342895507812,0,0,648.125,673.33,666.51,626.5853548614946
1680096174608,559,15,622,1,612.700439453125,0,0,672.8499999999999,696.9320000000001,689.9860000000001,650.6150637993695
1680096189623,559,15,620,1,612.326416015625,0,0,672.8499999999999,696.7,689.7900000000001,650.6030637993696
1680096204638,556.4,15,617,1,611.9539794921875,0,0,669.8599999999999,693.596,686.74,647.6834781538238
1680096219689,542.5,15,620,1,611.6726684570312,0,0,653.875,679.21,672.3000000000001,632.1926282071888
1680096234710,542.5,15,617,1,611.8781127929688,0,0,653.875,678.8620000000001,672.0060000000001,632.1746282071888
1680096249805,542.5,15,612,1,613.2968139648438,0,0,653.875,678.282,671.5160000000001,632.1446282071888
1680096264837,542.5,15,622,1,611.958740234375,0,0,653.875,679.4420000000001,672.4960000000001,632.2046282071888
1680096279887,542.5,15,620,1,612.2015991210938,0,0,653.875,679.21,672.3000000000001,632.1926282071888
1680096294910,545,15,617,1,612.1615600585938,0,0,656.75,681.5120000000001,674.6560000000001,634.9635544849782
1680096309928,561.6,15,617,1,612.3980712890625,0,0,675.84,699.1080000000001,692.2520000000001,653.4868518889095
1680096324943,537.5,15,620,1,612.4238891601562,0,0,648.125,673.91,667,626.6153548614946
1680096339952,561.6,15,622,1,612.967041015625,0,0,675.84,699.6880000000001,692.7420000000001,653.5168518889095
1680096354960,559,15,620,1,613.0650024414062,0,0,672.8499999999999,696.7,689.7900000000001,650.6030637993696
1680096370058,559,15,620,1,613.6144409179688,0,0,672.8499999999999,696.7,689.7900000000001,650.6030637993696
1680096385084,542.5,15,622,1,612.8485107421875,0,0,653.875,679.4420000000001,672.4960000000001,632.2046282071888
1680096400095,542.5,15,620,1,613.0449829101562,0,0,653.875,679.21,672.3000000000001,632.1926282071888
1680096415110,542.5,15,617,1,613.44482421875,0,0,653.875,678.8620000000001,672.0060000000001,632.1746282071888
1680096430209,561.6,15,622,1,614.2434692382812,0,0,675.84,699.6880000000001,692.7420000000001,653.5168518889095
1680096445227,542.5,15,620,1,613.3231201171875,0,0,653.875,679.21,672.3000000000001,632.1926282071888
1680096460355,547.5,15,622,1,612.8421630859375,0,0,659.625,684.7420000000001,677.796,637.7826726686347
1680096475374,547.5,15,620,1,613.1756591796875,0,0,659.625,684.51,677.6,637.7706726686348
1680096490387,547.5,15,620,1,614.3846435546875,0,0,659.625,684.51,677.6,637.7706726686348
1680096505401,547.5,15,617,1,614.322998046875,0,0,659.625,684.162,677.306,637.7526726686348
1680096520489,547.5,15,620,1,614.8361206054688,0,0,659.625,684.51,677.6,637.7706726686348
1680096535522,547.5,15,622,1,614.3704223632812,0,0,659.625,684.7420000000001,677.796,637.7826726686347
