id,first_date
CIC-4b1ce58a-ef77-5ed2-a36c-9d02a94ecd76,2022-11-04
CIC-890c9b5b-84a7-53cf-8650-3b50c31aadc9,2022-11-08
CIC-f42058e3-44c5-5d70-809d-f2ee78b2abf9,2022-11-09
CIC-691989e5-24b7-59b9-9807-537c89035f25,2022-11-10
CIC-55f47837-29c6-59e7-9329-0895224fc3b6,2022-11-10
CIC-17fcd27d-dbd7-561c-887e-faf59bb9ebeb,2022-11-11
CIC-2adc2ff5-9521-57fc-8f0a-934ec7e4a259,2022-11-12
CIC-391d6502-4ed9-5869-a7f1-bf8c8350236f,2022-11-14
CIC-05fbece6-7f21-5ab8-bdcd-6670029f1b39,2022-11-14
CIC-c20cc1ff-498a-596e-ab1c-ef6d830520f9,2022-11-14
CIC-59e07af0-4dba-565d-86e9-e3d5eede29fa,2022-11-14
CIC-56db881a-7d7f-56cf-9077-277aaeb6f949,2022-11-15
CIC-7a715ae0-c61f-5a0e-bb76-11944de2e1ef,2022-11-15
CIC-a17b541d-ab55-50d9-9352-7412e372165f,2022-11-15
CIC-d170ab27-61af-5d53-886b-41082b7376f1,2022-11-15
CIC-f7b7c206-0cca-549a-8aa8-02b361641a72,2022-11-16
CIC-f1636f7f-1551-5054-a5a4-672e8fe6f649,2022-11-16
CIC-d0718e86-852d-5a57-9a45-acb14b61a634,2022-11-16
CIC-31f9bb1b-799a-55a5-9ecc-0cc4fffc5e30,2022-11-17
CIC-049982af-55c4-5af1-bf88-82159e795327,2022-11-17
CIC-aa0f7386-f27a-50b6-b08e-f62fa9af3e01,2022-11-17
CIC-32212ec5-f432-55d7-9289-ee3f4d8ed61a,2022-11-18
CIC-4d5ecd4f-f1c7-5f02-bd6d-ae974808bd6e,2022-11-18
CIC-28552016-2da6-52d2-bc64-84f227818e4d,2022-11-18
CIC-b67767b4-8b3b-5a54-9c2c-70a6dc59a3cb,2022-11-18
CIC-61333a8d-b35a-5e3c-a475-862e9d8267fa,2022-11-18
CIC-28d1c5d1-0166-52e7-9b8d-55c2c5f91109,2022-11-18
CIC-9b02a27b-1a6a-594b-94d1-0373d32c1977,2022-11-18
CIC-c0c3f6e9-f97b-570b-ab9f-8d02a9b56ca4,2022-11-18
CIC-800840f6-880d-567f-ac5e-cd38ef37f1dd,2022-11-18
CIC-4be411af-9b40-5305-95e3-440c8b616382,2022-11-18
CIC-fc0621fb-7570-5115-bcb1-2c5d51492c69,2022-11-18
CIC-4a04f112-7109-5c12-8fde-1b188b9d3116,2022-11-18
CIC-2c45a1f0-7496-5488-a6af-680753fcf494,2022-11-18
CIC-a298cc6b-56f2-598e-801b-2ec36b985562,2022-11-18
CIC-8952410e-96f2-559f-bca6-8df2a36c42a1,2022-11-18
CIC-bdee5b5f-85ce-5069-8465-abfa2bf74e76,2022-11-18
CIC-17d8a41f-f7c6-5bad-afd0-27dc5bb4eb38,2022-11-18
CIC-fedfdcbe-e4a0-5810-9e45-d7377358d3f3,2022-11-18
CIC-ab5dd581-df24-580e-b5c0-f80919325d5d,2022-11-18
CIC-ecc569f0-1094-5ecb-afab-2b22e9839aa7,2022-11-18
CIC-9c994599-cd83-51f9-955e-172852f1fd9d,2022-11-18
CIC-595dae60-5522-5211-9f39-1c8345bfb959,2022-11-18
CIC-1c4f9283-4e12-53a2-b2c7-56b16a68687c,2022-11-18
CIC-ac2ac0f6-928d-5adf-a77c-050d8ccac4d5,2022-11-18
CIC-36d58742-9c44-5aa9-b24a-ada4850b5359,2022-11-18
CIC-a01bbca5-1c23-5e86-9644-cb9eae5a9f6e,2022-11-18
CIC-9bfe71f8-8749-56a7-816c-c290df324855,2022-11-18
CIC-697e354d-8b78-5173-9bde-58e6dce7b2ad,2022-11-18
CIC-13b8aa43-3ceb-5700-8223-ac14ba28476f,2022-11-20
CIC-5ce8e572-8d31-5c52-b91a-a66841f0fd70,2022-11-21
CIC-c293cb30-5aa9-5a41-afed-afb5ffa836f1,2022-11-21
CIC-88352a6b-be9d-5c4b-80b8-debe4697aa74,2022-11-23
CIC-8e4cc0b5-a44a-555b-94b8-856b081317ce,2022-11-23
CIC-74885b8d-690b-541a-8a21-880ca3b776a5,2022-11-23
CIC-65009375-6c2e-57f2-ad04-6e58e3691123,2022-11-24
CIC-cd55950e-8d68-5642-8815-8171d2a72e89,2022-11-26
CIC-0b5dcc89-bb27-5bd7-8c82-34c8878e5e5d,2022-11-28
CIC-5546b49d-5843-5c14-9167-1804e9959d29,2022-11-28
CIC-9a1ef055-7a2d-53be-b07e-e92bdba88774,2022-11-28
CIC-1da11ccd-d818-5f7e-a954-654e4c504530,2022-11-28
CIC-41f1a4dd-3f37-572d-9ffd-371d3a983e9e,2022-11-28
CIC-f004fea0-0053-5b67-96f9-765a7b277aff,2022-12-01
CIC-8d311b83-387b-5157-8b2d-6911a171ada5,2022-12-02
CIC-d45ff675-86d8-58e6-80d5-a82058270823,2022-12-02
CIC-0abb6dfb-8f97-5864-80fd-2caa881de9a2,2022-12-02
CIC-cc0364a2-ab41-5c7a-83ec-4a2e4b784da6,2022-12-02
CIC-ca087288-b8f4-5b39-b361-72fe947ee391,2022-12-02
CIC-36169507-4483-5ef0-b717-1f46974ddcf5,2022-12-02
CIC-680bda69-bf47-5bca-898e-3a6b748475c7,2022-12-02
CIC-a162617b-de3b-5fbf-ad74-1a8546a77497,2022-12-02
