Date;ActiveInstallations;Total_hpHeat_diff;Total_hpElectric_diff;Total_boilerHeat_diff;Total_COP;Savings_Gas;CO2_Gas_Saved;CO2_Electricity;Savings_CO2;Savings_CO2_perCIC
2024-07-01;137;146741975;38330083;59119290;3.8284;16689.4484;29707.218140;8432.618260;21274.599880;155.2890502223
2024-07-02;249;137128295;35649115;57567115;3.8466;15596.0529;27760.974137;7842.805300;19918.168837;79.9926459319
2024-07-03;761;175103409;45200731;62884340;3.8739;19915.0877;35448.856187;9944.160820;25504.695367;33.5147113883
2024-07-04;658;140800073;36245995;57532113;3.8846;16013.6563;28504.308210;7974.118900;20530.189310;31.2008956085
2024-07-05;686;152291277;39146238;59645882;3.8903;17320.5888;30830.648059;8612.172360;22218.475699;32.3884485410
2024-07-06;526;118962411;30789904;42664392;3.8637;13529.9870;24083.376921;6773.778880;17309.598041;32.9079810670
2024-07-07;857;112564738;28686664;41523710;3.9239;12802.3586;22788.198310;6311.066080;16477.132230;19.2265253558
2024-07-08;723;114389001;29319296;47914406;3.9015;13009.8380;23157.511718;6450.245120;16707.266598;23.1082525559
2024-07-09;151;132249692;34463497;51330812;3.8374;15041.1933;26773.324056;7581.969340;19191.354716;127.0950643426
2024-07-10;87;152232035;39582521;66967558;3.8459;17313.8510;30818.654797;8708.154620;22110.500177;254.1436801920
2024-07-11;116;110600559;28775806;47983040;3.8435;12578.9661;22390.559570;6330.677320;16059.882250;138.4472607766
2024-07-12;395;113544873;29300760;48638223;3.8752;12913.8326;22986.622001;6446.167200;16540.454801;41.8745691154
2024-07-13;647;115867841;29601079;48388494;3.9143;13178.0314;23456.895875;6512.237380;16944.658495;26.1895803630
2024-07-14;750;157381456;40419821;66638451;3.8937;17899.5116;31861.130700;8892.360620;22968.770080;30.6250267734
