distinctInstallationID,id,hpHeat,hpHeat_prev_day,hpHeat_diff,hpElectric,hpElectric_prev_day,hpElectric_diff,boilerHeat,boilerHeat_prev_day,boilerHeat_diff
321,CIC-69603264-c52b-5a75-9541-79128dd5bdd7,8150729,8150085,644,2870659,2870418,241,5070366,5070062,304
421,CIC-5fbb3c77-c49c-532e-96cb-a311bf528fca,9083861,9082412,1449,1940605,1940416,189,645683,645683,0
508,CIC-d3399e4a-e260-5f32-b93d-19700ec7b445,6967007,6966815,192,1594506,1594470,36,655381,655381,0
547,CIC-7323dbe4-0420-5428-a786-c20b9769797b,10158363,10154713,3650,2550928,2550317,611,2386080,2386080,0
603,CIC-65d66940-db1c-5cba-b5c7-b48cee0c1a45,13295170,13294295,875,3831150,3830793,357,1837292,1837291,1
609,CIC-1c13939a-e668-5f91-a817-1d6481b4b315,10903855,10903517,338,2619461,2619416,45,2129155,2129155,0
652,CIC-95ac54d2-f79d-52f3-b6ba-dd4a2a5738f5,17274129,17272599,1530,5212639,5212483,156,3348115,3348115,0
840,CIC-de470155-3f7f-5f43-ae5d-7755bbf7635f,5571207,5570899,308,1671763,1671645,118,8198800,8196860,1940
849,CIC-561e4ca8-6b42-549d-89a7-51badb654734,10800956,10800761,195,2766346,2766307,39,3825060,3825060,0
885,CIC-ca797292-b6ec-5bbe-9fc6-16540f7698ed,6494173,6493745,428,1594745,1594676,69,1234539,1234539,0
932,CIC-4fa765ea-665c-5390-bc32-0dec31f9db1f,7443626,7440953,2673,1541819,1541527,292,1076685,1076685,0
1111,CIC-a1478fa2-5791-543c-9083-d3aa2c1ed27a,7457399,7457293,106,2342005,2341971,34,289165,289165,0
1228,CIC-4a16414a-3c41-5811-8b31-8d7402de1678,10674867,96969,10577898,2854598,28220,2826378,1583616,831,1582785
1228,CIC-580a1400-76e6-5e12-8b05-e21c29491ff2,10674867,96969,10577898,2854598,28220,2826378,1583616,831,1582785
1384,CIC-fe33d40d-a6e7-57f5-b5b6-9517916f67c9,8610071,8609876,195,1922518,1922484,34,26491,26489,2
1428,CIC-efd182ee-d1ad-5e2c-8783-5bfefee09675,6847869,6847788,81,2222013,2221909,104,7413763,7413212,551
