Date,ActiveInstallations,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,,,,,
11/11/2022,2,"38,267","5,875","2,090",6.5,4,8,1,6,,,,,
11/12/2022,2,"75,788","12,510",341,6.1,9,15,3,13,,Total gas saved,Total CO2 saved,Total electricity usage (kwh),Total Euros saved on gas
11/13/2022,2,"74,785","11,905",561,6.3,9,15,3,13,,"5,948,795","7,728,389","13,002,119",
11/14/2022,2,"109,697","23,830","6,710",4.6,12,22,5,17,,,,,
11/15/2022,2,"106,815","18,290","2,426",5.8,12,22,4,18,,,,,
11/16/2022,3,"103,608","18,135","1,602",5.7,12,21,4,17,,,,,
11/17/2022,2,"103,674","17,518","1,404",5.9,12,21,4,17,,Gas price,$1.34, ( median from all our installs),
11/18/2022,2,"109,005","18,904","7,326",5.8,12,22,4,18,,Electricity price,$0.33, (median from all our installs),
11/19/2022,2,"142,825","46,164","11,933",3.1,16,29,10,19,,,,,
11/20/2022,3,"214,638","75,841","14,054",2.8,24,43,17,27,,,,,
11/21/2022,4,"202,558","57,372","18,313",3.5,23,41,13,28,,€ Total gas saved,€ Total electricity spend (€),€ Total savings money,
11/22/2022,4,"197,066","46,073","26,062",4.3,22,40,10,30,,"7,971,385.52","4,290,699.28","3,680,686.25",
11/23/2022,6,"234,484","51,428","15,944",4.6,27,47,11,36,,,,,
11/24/2022,7,"228,636","49,339","23,549",4.6,26,46,11,35,,,,,
11/25/2022,7,"229,289","50,701","23,876",4.5,26,46,11,35,,,,657.2654015,
11/26/2022,7,"261,881","59,540","23,433",4.4,30,53,13,40,,,,,
11/27/2022,6,"290,242","66,969","13,986",4.3,33,59,15,44,,,,,
11/28/2022,9,"314,488","68,481","32,687",4.6,36,64,15,49,,,,,
11/29/2022,11,"335,202","76,397","23,316",4.4,38,68,17,51,,,,,
11/30/2022,12,"568,885","133,710","9,015",4.3,65,115,29,86,,,,,
12/1/2022,13,"625,896","178,126","61,320",3.5,71,127,39,88,,,,,
12/2/2022,10,"425,627","142,886","68,274",3.0,48,86,31,55,,,,,
12/3/2022,8,"504,249","171,922","64,836",2.9,57,102,38,64,,,,,
12/4/2022,12,"548,996","198,922","143,261",2.8,62,111,44,67,,,,,
12/5/2022,10,"521,575","144,830","64,569",3.6,59,106,32,74,,,,,
12/6/2022,11,"525,229","141,094","46,567",3.7,60,106,31,75,,,,,
12/7/2022,15,"620,571","177,818","69,927",3.5,71,126,39,87,,,,,
12/8/2022,18,"813,925","276,217","154,768",2.9,93,165,61,104,,,,,
12/9/2022,21,"1,030,656","384,338","234,413",2.7,117,209,85,124,,,,,
12/10/2022,21,"1,024,439","414,433","358,585",2.5,117,207,91,116,,,,,
12/11/2022,21,"1,153,547","420,303","227,932",2.7,131,234,92,141,,,,,
12/12/2022,24,"1,139,301","429,494","329,374",2.7,130,231,94,136,,,,,
12/13/2022,28,"1,339,499","540,641","657,921",2.5,152,271,119,152,,,,,
12/14/2022,33,"1,390,875","556,544","673,315",2.5,158,282,122,159,,,,,
12/15/2022,36,"1,656,739","638,388","720,306",2.6,188,335,140,195,,,,,
12/16/2022,40,"1,829,783","690,567","687,888",2.6,208,370,152,219,,,,,
12/17/2022,41,"1,919,615","785,338","938,537",2.4,218,389,173,216,,,,,
12/18/2022,40,"1,892,405","787,817","1,167,066",2.4,215,383,173,210,,,,,
12/19/2022,43,"2,138,447","597,389","356,396",3.6,243,433,131,301,,,,,
12/20/2022,44,"1,594,587","358,650","168,505",4.4,181,323,79,244,,,,,
12/21/2022,49,"1,863,751","477,911","240,169",3.9,212,377,105,272,,,,,
12/22/2022,50,"1,574,804","392,413","189,311",4.0,179,319,86,232,,,,,
12/23/2022,54,"1,707,670","420,171","191,549",4.1,194,346,92,253,,,,,
12/24/2022,52,"1,549,189","375,740","184,520",4.1,176,314,83,231,,,,,
12/25/2022,54,"1,673,515","430,497","225,855",3.9,190,339,95,244,,,,,
12/26/2022,54,"1,838,605","517,392","246,397",3.6,209,372,114,258,,,,,
12/27/2022,58,"2,492,521","765,699","449,347",3.3,283,505,168,336,,,,,
12/28/2022,60,"2,365,698","597,958","300,618",4.0,269,479,132,347,,,,,
12/29/2022,58,"2,123,625","523,838","158,808",4.1,242,430,115,315,,,,,
12/30/2022,59,"2,431,144","650,896","287,901",3.7,277,492,143,349,,,,,
12/31/2022,59,"1,318,824","252,161","119,281",5.2,150,267,55,212,,,,,
1/1/2023,55,"1,273,811","259,935","70,189",4.9,145,258,57,201,,,,,
1/2/2023,62,"1,552,758","356,090","104,853",4.4,177,314,78,236,,,,,
1/3/2023,64,"2,566,550","719,876","325,331",3.6,292,520,158,361,,,,,
1/4/2023,67,"2,057,321","446,748","165,229",4.6,234,416,98,318,,,,,
1/5/2023,72,"2,019,977","454,212","150,103",4.4,230,409,100,309,,,,,
1/6/2023,79,"2,030,339","466,081","178,600",4.4,231,411,103,308,,,,,
1/7/2023,79,"2,306,520","527,553","182,072",4.4,262,467,116,351,,,,,
1/8/2023,79,"2,618,565","669,584","292,281",3.9,298,530,147,383,,,,,
1/9/2023,85,"3,408,900","905,465","405,507",3.8,388,690,199,491,,,,,
1/10/2023,88,"3,622,176","988,846","482,259",3.7,412,733,218,516,,,,,
1/11/2023,92,"2,869,862","680,722","282,087",4.2,326,581,150,431,,,,,
1/12/2023,97,"3,412,067","766,727","265,186",4.5,388,691,169,522,,,,,
