Date,ActiveInstallations,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,Savings_CO2_perCIC
2024-07-01,131,504521,97596,52218,5.1695,57.3808,102.137888,21.471120,80.666768,0.6157768547
2024-07-02,241,1560512,273766,102923,5.7002,177.4822,315.918267,60.228520,255.689747,1.0609533058
2024-07-03,754,7365522,1245517,297929,5.9136,837.7051,1491.115059,274.013740,1217.101319,1.6141927313
2024-07-04,651,4988071,811306,253024,6.1482,567.3098,1009.811360,178.487320,831.324040,1.2769954527
2024-07-05,680,5824003,905387,227386,6.4326,662.3831,1179.041836,199.185140,979.856696,1.4409657289
2024-07-06,521,3480651,550450,143634,6.3233,395.8659,704.641317,121.099000,583.542317,1.1200428350
2024-07-07,850,7388070,1222433,323719,6.0437,840.2695,1495.679795,268.935260,1226.744535,1.4432288650
2024-07-08,717,4628360,750772,178502,6.1648,526.3986,936.989571,165.169840,771.819731,1.0764570860
2024-07-09,144,944187,165933,48247,5.6902,107.3855,191.146188,36.505260,154.640928,1.0738953349
2024-07-10,82,194669,42099,70319,4.6241,22.1403,39.409817,9.261780,30.148037,0.3676589934
2024-07-11,110,357257,76118,62465,4.6935,40.6320,72.324988,16.745960,55.579028,0.5052638940
2024-07-12,389,2822632,492269,224083,5.7339,321.0272,571.428486,108.299180,463.129306,1.1905637677
2024-07-13,641,5772725,948753,331260,6.0845,656.5510,1168.660847,208.725660,959.935187,1.4975587946
2024-07-14,741,6006083,989215,275631,6.0716,683.0916,1215.903070,217.627300,998.275770,1.3472007688
2024-07-15,291,1352408,231221,143426,5.8490,153.8138,273.788597,50.868620,222.919977,0.7660480313
2024-07-16,106,513586,101377,114475,5.0661,58.4118,103.973054,22.302940,81.670114,0.7704727765
2024-07-17,123,544673,106640,67898,5.1076,61.9475,110.266470,23.460800,86.805670,0.7057371568
2024-07-18,122,603435,119016,42487,5.0702,68.6307,122.162559,26.183520,95.979039,0.7867134344
2024-07-19,53,178667,33387,40617,5.3514,20.3204,36.170288,7.345140,28.825148,0.5438707229
2024-07-20,2,1252,248,1741,5.0484,0.1424,0.253461,0.054560,0.198901,0.0994507357
