Date,ActiveClientID,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,Savings_CO2_perCIC
11/10/2022,1,145.908448,27.982111,0,5.214347409,0.016594649,0.029671232,0.006156064,0.023515167,0.023515167
11/11/2022,1,5388.59647,699.189778,503,7.706915403,0.612862834,1.095798748,0.153821751,0.941976996,0.941976996
11/12/2022,1,18252.74847,2502.47475,117,7.293879177,2.075945234,3.711790078,0.550544445,3.161245633,3.161245633
11/13/2022,1,18573.30504,2451.739555,102,7.575562014,2.112403189,3.776976902,0.539382702,3.2375942,3.2375942
11/14/2022,2,28461.15421,5274.471861,1099,5.396019726,3.236980859,5.787721776,1.160383809,4.627337967,2.313668983
11/15/2022,4,26444.49421,3823.562528,1837,6.916192428,3.007619472,5.377623615,0.841183756,4.536439859,1.134109965
11/16/2022,3,28208.9805,4334.572333,1448,6.507903971,3.208300313,5.736440959,0.953605913,4.782835046,1.594278349
11/17/2022,2,31590.88056,5210.829388,8057,6.062543639,3.592934951,6.424167693,1.146382465,5.277785228,2.638892614
11/18/2022,2,31598.18969,4565.659722,1896,6.920837648,3.593766243,6.425654043,1.004445139,5.421208904,2.710604452
11/19/2022,1,193685.1448,30669.45639,5107,6.315245446,22.02844979,39.38686823,6.747280406,32.63958782,32.63958782
11/20/2022,3,54186.30401,15176.81497,19650,3.570334362,6.162786921,11.01906302,3.338899294,7.680163721,2.560054574
11/21/2022,6,75657.96404,18505.24772,24038,4.088459942,8.604829575,15.38543528,4.071154499,11.31428078,1.885713464
11/22/2022,8,209872.0615,49216.07159,51649,4.264299337,23.86944117,42.67856081,10.82753575,31.85102506,3.981378132
11/23/2022,11,143268.4806,26612.68294,20828,5.383466257,16.29439643,29.13438082,5.854790248,23.27959057,2.116326416
11/24/2022,12,154070.4081,28537.0095,14650,5.398968245,17.52293524,31.33100821,6.27814209,25.05286612,2.087738843
11/25/2022,11,190319.7381,37350.12236,14626,5.095558624,21.645691,38.7024955,8.217026919,30.48546858,2.771406235
11/26/2022,12,129333.8591,30044.48547,44223,4.304745351,14.70956601,26.30070403,6.609786804,19.69091722,1.640909769
11/27/2022,11,218246.6382,44353.50545,27620,4.92061757,24.82190938,44.38157396,9.757771198,34.62380277,3.147618433
11/28/2022,14,153536.1625,34623.90339,34116,4.434397842,17.46217373,31.22236662,7.617258746,23.60510788,1.686079134
11/29/2022,17,163700.6134,37731.01278,38293,4.338622299,18.61821023,33.28935988,8.300822812,24.98853707,1.469913945
11/30/2022,19,232196.3265,56613.28037,56526,4.10144625,26.40845339,47.21831467,12.45492168,34.76339299,1.829652262
12/1/2022,20,277971.7974,74526.15428,38668,3.729855648,31.61464856,56.52699162,16.39575394,40.13123768,2.006561884
12/2/2022,17,260735.5539,76733.53853,102531,3.397934708,29.65431377,53.02191303,16.88137848,36.14053455,2.125913797
12/3/2022,16,305334.3989,93302.25856,222602,3.272529558,34.7266874,62.09131707,20.52649688,41.56482018,2.597801261
12/4/2022,19,288912.7065,97504.76403,235795,2.963062466,32.8589942,58.75188164,21.45104809,37.30083355,1.963201766
12/5/2022,17,353557.506,98958.86589,151293,3.572772412,40.21126027,71.89773337,21.7709505,50.12678287,2.948634287
12/6/2022,20,276937.2332,72421.56486,63249,3.823960912,31.49698416,56.31660767,15.93274427,40.3838634,2.01919317
12/7/2022,25,367902.9447,94685.046,73310,3.885544342,41.8428143,74.81495197,20.83071012,53.98424185,2.159369674
